               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11787,             0.05374,                   0,           0.0014435,                0.02,          0.00020652,          4.1303e-05,             0.11842,            0.038727,                   0,               6e-05,               6e-05,             0.09946
                   1,             0.11532,            0.050444,                   0,            0.001502,                0.02,          0.00020663,          4.1325e-05,             0.11741,            0.038857,                   0,          0.00012999,          0.00012999,             0.09883
                   2,             0.11581,            0.055545,                   0,           0.0015025,                0.02,          0.00020733,          4.1467e-05,             0.11609,            0.038817,                   0,          0.00019996,          0.00019996,              0.0982
                   3,             0.11346,            0.050876,                   0,           0.0013748,                0.02,          0.00020552,          4.1105e-05,             0.11498,            0.039073,                   0,          0.00026987,          0.00026987,             0.09757
                   4,             0.11389,            0.060548,                   0,           0.0013182,                0.02,          0.00020461,          4.0922e-05,             0.11383,             0.03928,                   0,           0.0003397,           0.0003397,             0.09694
                   5,             0.11252,            0.056268,                   0,           0.0014468,                0.02,           0.0002052,           2.052e-05,              0.1124,            0.039368,                   0,          0.00040943,          0.00040943,            0.096309
                   6,             0.11095,            0.066779,                   0,           0.0013591,                0.02,          0.00040119,          6.0527e-05,             0.11022,            0.039605,                   0,          0.00047904,          0.00047904,            0.095679
                   7,             0.10801,              0.0702,                   0,           0.0011746,                0.02,          0.00039985,          6.0241e-05,             0.10869,            0.039869,                   0,          0.00054851,          0.00054851,            0.095049
                   8,             0.10627,            0.057512,                   0,           0.0012178,                0.02,          0.00039956,          7.9912e-05,             0.10652,            0.040021,                   0,           0.0006178,           0.0006178,            0.094418
                   9,             0.10324,            0.069595,                   0,           0.0028155,                0.02,          0.00042613,          6.1712e-05,             0.10467,            0.040365,                   0,           0.0006869,           0.0006869,            0.093787
                  10,             0.10034,            0.057528,                   0,            0.002778,                0.02,          0.00063721,          8.2823e-05,             0.10264,            0.040828,                   0,          0.00075579,          0.00075579,            0.093156
                  11,             0.10203,            0.068892,                   0,           0.0031106,                0.02,          0.00064243,          8.3358e-05,             0.10114,            0.041128,                   0,          0.00082444,          0.00082444,            0.092524
                  12,             0.09833,            0.061901,                   0,           0.0031568,                0.04,          0.00089779,          0.00017263,            0.098808,            0.041361,                   0,          0.00089283,          0.00089283,            0.091893
                  13,            0.097884,            0.074862,                   0,           0.0059458,                0.04,           0.0014488,          0.00028616,            0.097271,            0.041486,                   0,          0.00096093,          0.00096093,            0.091261
                  14,            0.099115,             0.06741,                   0,           0.0065003,                0.06,           0.0022954,          0.00055978,            0.095865,             0.04131,                   0,           0.0010287,           0.0010287,            0.090629
                  15,            0.091418,            0.072235,                   0,            0.023876,                0.04,           0.0039221,           0.0010509,            0.094403,            0.040916,                   0,           0.0010962,           0.0010962,            0.089996
                  16,            0.093272,             0.06721,                   0,            0.086585,                0.06,            0.012006,           0.0032382,            0.093117,            0.040756,                   0,           0.0011633,           0.0011633,            0.089363
                  17,            0.090691,            0.065331,                   0,            0.091502,                0.06,            0.016614,           0.0053946,            0.091837,            0.040299,                   0,           0.0012301,           0.0012301,             0.08873
                  18,            0.087306,            0.076478,                   0,              0.1299,                0.16,            0.040022,           0.0098911,            0.090416,            0.039691,                   0,           0.0012964,           0.0012964,            0.088096
